word,clue,length
ВЕЛИКИЙ,Протилежне до малого,7
МАЛИЙ,Протилежне до великого,5
ВИСОКИЙ,Протилежне до низького,7
НИЗЬКИЙ,Протилежне до високого,7
ШИРОКИЙ,Протилежне до вузького,7
ВУЗЬКИЙ,Протилежне до широкого,7
ДОВГИЙ,Протилежне до короткого,6
КОРОТКИЙ,Протилежне до довгого,8
ТОВСТИЙ,Протилежне до тонкого,7
ТОНКИЙ,Протилежне до товстого,6
ВАЖКИЙ,Протилежне до легкого,6
ЛЕГКИЙ,Протилежне до важкого,6
ШВИДКИЙ,Протилежне до повільного,7
ПОВІЛЬНИЙ,Протилежне до швидкого,9
ГАРЯЧИЙ,Протилежне до холодного,7
ХОЛОДНИЙ,Протилежне до гарячого,8
ТЕПЛИЙ,Трохи гарячий,6
СУХИЙ,Протилежне до мокрого,5
МОКРИЙ,Протилежне до сухого,6
ЧИСТИЙ,Протилежне до брудного,6
БРУДНИЙ,Протилежне до чистого,7
НОВИЙ,Протилежне до старого,4
СТАРИЙ,Протилежне до нового,6
МОЛОДИЙ,Протилежне до старого про людину,7
ДОРОГИЙ,Протилежне до дешевого,7
ДЕШЕВИЙ,Протилежне до дорогого,7
БАГАТИЙ,Протилежне до бідного,7
БІДНИЙ,Протилежне до багатого,6
РОЗУМНИЙ,Протилежне до дурного,8
ДОБРИЙ,Протилежне до злого,6
ЗЛИЙ,Протилежне до доброго,4
ГАРНИЙ,Приємний на вигляд,6
ПОТВОРНИЙ,Неприємний на вигляд,9
СИЛЬНИЙ,Протилежне до слабкого,7
СЛАБКИЙ,Протилежне до сильного,7
СМІЛИВИЙ,Протилежне до боязкого,8
ВЕСЕЛИЙ,Протилежне до сумного,7
СУМНИЙ,Протилежне до веселого,6
СПОКІЙНИЙ,Протилежне до тривожного,9
ЖИВИЙ,Протилежне до мертвого,5
МЕРТВИЙ,Протилежне до живого,7
ПОВНИЙ,Протилежне до порожнього,6
ПОРОЖНІЙ,Протилежне до повного,8
ТВЕРДИЙ,Протилежне до м'якого,7
МЯКИЙ,Протилежне до твердого,5
ГОСТРИЙ,Протилежне до тупого,7
ТУПИЙ,Протилежне до гострого,5
РІВНИЙ,Протилежне до кривого,6
КРИВИЙ,Протилежне до рівного,6
ПРОСТИЙ,Протилежне до складного,7
СКЛАДНИЙ,Протилежне до простого,8
ЯСНИЙ,Протилежне до похмурого,5
ПОХМУРИЙ,Протилежне до ясного,8
СВІЖИЙ,Протилежне до застарілого,6
ГЛИБОКИЙ,Протилежне до мілкого,8
МІЛКИЙ,Протилежне до глибокого,6
ЩАСЛИВИЙ,Протилежне до нещасного,8
ГОЛОСНИЙ,Протилежне до тихого,8
ТИХИЙ,Протилежне до голосного,5
СВІТЛИЙ,Протилежне до темного,7
ТЕМНИЙ,Протилежне до світлого,6
