word,clue,length
ЧІТКИЙ,Протилежне до розмитого,6
РОЗМИТИЙ,Протилежне до чіткого,8
ВИРАЗНИЙ,Той, що яскраво передає зміст,8
ПЛЯМИСТИЙ,Той, що вкритий плямами,9
СМУГАСТИЙ,Той, що вкритий смугами,9
КАРТАТИЙ,Той, що має візерунок із клітинок,8
ОДНОТОННИЙ,Той, що одного суцільного кольору,10
ГУСТИЙ,Протилежне до рідкого про рідину,6
РІДКИЙ,Протилежне до густого про рідину,6
ПУХКИЙ,Той, що м'який і повітряний усередині,6
РИХЛИЙ,Той, що пухкий і незлежаний про ґрунт,6
ЛИПКИЙ,Той, що прилипає до рук,6
МАСНИЙ,Той, що вкритий чи просякнутий жиром,6
ВОЛОГИЙ,Той, що трохи мокрий,7
ТУГИЙ,Той, що сильно натягнутий,5
ЩЕДРИЙ,Той, хто ділиться без жалю,6
СКУПИЙ,Той, хто неохоче ділиться,6
ЖАДІБНИЙ,Той, хто прагне мати якомога більше,8
