word,clue,length
ПРУДКИЙ,Швидкий у русі,7
МЕТКИЙ,Спритний і швидкий у діях,6
ВПРАВНИЙ,Той, хто вміло щось робить,8
ВЕРЕДЛИВИЙ,Той, хто часто капризує,10
СВАРЛИВИЙ,Той, хто любить сваритися,9
ПОКІРЛИВИЙ,Той, хто легко підкоряється,10
СОРОМЛИВИЙ,Той, хто ніяковіє при увазі,10
БАЙДУЖИЙ,Той, кому все одно,8
ПИХАТИЙ,Той, хто задирає носа від зарозумілості,7
СКНАРИЙ,Той, хто дуже неохоче витрачає гроші,7
ЩЕДРИЙ,Той, хто охоче ділиться з іншими,6
ЛАГІДНИЙ,Той, хто м'який і добрий у поводженні,8
СУВОРИЙ,Той, хто вимогливий і жорсткий,7
ПОСТУПЛИВИЙ,Той, хто легко йде на компроміс,11
НАПОЛЕГЛИВИЙ,Той, хто вперто досягає мети,12
