word,clue,length
ЯСКРАВИЙ,Той, що дуже помітний за кольором чи світлом,8
ТЬМЯНИЙ,Той, що ледь світиться чи виділяється,7
БЛИСКУЧИЙ,Той, що відбиває багато світла,9
МАТОВИЙ,Той, що не блищить,7
ПРОСТОРИЙ,Той, у якому багато вільного місця,9
ТІСНИЙ,Той, у якому мало місця,6
ГЛИБОКИЙ,Той, що має велику відстань униз,8
МІЛКИЙ,Той, що має малу глибину,6
ШИРОКИЙ,Той, що має велику відстань упоперек,7
ВУЗЬКИЙ,Той, що має малу відстань упоперек,7
ВИСОКИЙ,Той, що має велику відстань угору,7
НИЗЬКИЙ,Той, що має малу відстань угору,7
ДАЛЕКИЙ,Той, що розташований на великій відстані,7
БЛИЗЬКИЙ,Той, що розташований на малій відстані,8
РІВНИЙ,Той, що не має нерівностей чи вигинів,6
