word,clue,length
СТРАШНИЙ,Той, що викликає страх,8
НУДНИЙ,Протилежне до цікавого,6
ЦІКАВИЙ,Протилежне до нудного,7
КОРИСНИЙ,Протилежне до шкідливого,8
ШКІДЛИВИЙ,Протилежне до корисного,9
ВАЖЛИВИЙ,Той, що має велике значення,8
ЗВИЧАЙНИЙ,Такий, як завжди, нічим не виділяється,9
НЕЗВИЧАЙНИЙ,Протилежне до звичайного,11
РІДКІСНИЙ,Протилежне до поширеного,9
ПОШИРЕНИЙ,Протилежне до рідкісного,9
ВІДОМИЙ,Той, кого знає багато людей,7
ТАЄМНИЙ,Протилежне до явного,7
ЯВНИЙ,Протилежне до таємного,5
СУМНІВНИЙ,Той, що викликає підозру,9
ВПЕВНЕНИЙ,Той, хто не сумнівається в собі,9
РІШУЧИЙ,Готовий діяти без вагань,7
ОБЕРЕЖНИЙ,Той, хто уникає зайвого ризику,9
НЕОБЕРЕЖНИЙ,Протилежне до обережного,11
УВАЖНИЙ,Той, хто зосереджений на деталях,7
НЕУВАЖНИЙ,Протилежне до уважного,9
ТЕРПЛЯЧИЙ,Той, хто вміє довго й спокійно чекати,9
ВВІЧЛИВИЙ,Протилежне до грубого,9
ГРУБИЙ,Протилежне до ввічливого,6
ЧЕСНИЙ,Протилежне до брехливого,6
БРЕХЛИВИЙ,Протилежне до чесного,9
СПРАВЕДЛИВИЙ,Той, хто судить чесно, без упереджень,12
ЩИРИЙ,Протилежне до лицемірного,5
ЛИЦЕМІРНИЙ,Протилежне до щирого,10
СКРОМНИЙ,Протилежне до гордовитого,8
НАЇВНИЙ,Легко довірливий, без хитрощів,7
ХИТРИЙ,Той, що діє обманом заради вигоди,6
ПІДСТУПНИЙ,Той, що приховує злий намір,10
ВІРНИЙ,Протилежне до зрадливого,6
ЗРАДЛИВИЙ,Протилежне до вірного,9
ВІДДАНИЙ,Той, що безмежно вірний,8
БАЙДУЖИЙ,Той, кому геть однаково,8
ЛАГІДНИЙ,Протилежне до суворого,8
СУВОРИЙ,Протилежне до лагідного,7
ЖОРСТКИЙ,Протилежне до гнучкого,8
ГНУЧКИЙ,Протилежне до жорсткого,7
СТІЙКИЙ,Той, що не піддається впливу чи руйнуванню,7
НЕСТІЙКИЙ,Протилежне до стійкого,9
МІЦНИЙ,Протилежне до крихкого,6
КРИХКИЙ,Протилежне до міцного,7
ПРУЖНИЙ,Той, що швидко повертає форму,7
ВЯЗКИЙ,Той, що тягнеться, як мед чи смола,6
ПРОЗОРИЙ,Той, крізь який видно наскрізь,8
НЕПРОЗОРИЙ,Протилежне до прозорого,10
БЛИСКУЧИЙ,Протилежне до тьмяного,9
ТЬМЯНИЙ,Протилежне до блискучого,7
ЯСКРАВИЙ,Насичений і помітний за кольором,8
ОДНАКОВИЙ,Протилежне до різного,9
СХОЖИЙ,Той, що має спільні риси з іншим,6
ВІДМІННИЙ,Дуже добрий, найвищого ґатунку,9
ПРОТИЛЕЖНИЙ,Цілком інший, майже навпаки,11
