word,clue,length
СОЛОДКИЙ,Смак цукру чи меду,8
КИСЛИЙ,Смак лимона,6
ГІРКИЙ,Смак ліків чи полину,6
СОЛОНИЙ,Смак морської води,7
ГЛАДКИЙ,Протилежне до шорсткого,7
ШОРСТКИЙ,Протилежне до гладкого,8
СЛИЗЬКИЙ,Той, по чому легко послизнутися,8
ПУХНАСТИЙ,Вкритий м'якою шерстю чи пір'ям,9
КОЛЮЧИЙ,Той, що вкритий гострими шипами,7
ГІГАНТСЬКИЙ,Дуже-дуже великий,11
КРИХІТНИЙ,Дуже-дуже малий,9
ВЕЛЕТЕНСЬКИЙ,Величезний, як казковий велетень,12
МІНІАТЮРНИЙ,Дуже маленького розміру,11
МИТТЄВИЙ,Той, що триває лише мить,8
СТАРОДАВНІЙ,Той, що існував дуже давно,11
СУЧАСНИЙ,Той, що існує тепер,8
СТАРОВИННИЙ,Виготовлений дуже давно, з історією,11
ЯКІСНИЙ,Зроблений добре, надійно,7
БРАКОВАНИЙ,Зроблений з дефектом,10
СОНЯЧНИЙ,Той день, коли світить сонце,8
ДОЩОВИЙ,Той день, коли йде дощ,7
ВІТРЯНИЙ,Той день, коли сильно дме,8
ХМАРНИЙ,Той день, коли небо затягнуте,7
МОРОЗНИЙ,Той день, коли дуже холодно взимку,8
СПЕКОТНИЙ,Той день, коли дуже жарко влітку,9
ДАЛЕКИЙ,Протилежне до близького,7
БЛИЗЬКИЙ,Протилежне до далекого,8
ПРЯМИЙ,Той, що не має вигинів,6
КРУГЛИЙ,Той, що має форму кола,7
ПЛОСКИЙ,Той, що не має об'єму, майже без товщини,7
ЩІЛЬНИЙ,Той, що туго прилягає, без проміжків,7
