word,clue,length
ТРИЦЕПС,М'яз задньої частини плеча, що розгинає руку,7
КВАДРИЦЕПС,Чотириголовий м'яз передньої частини стегна,10
ДІАФРАГМА,М'яз, що відділяє грудну клітку від живота,9
ЧЕРЕП,Кістка, що захищає мозок,5
ЩЕЛЕПА,Кістка, що тримає зуби,6
КЛЮЧИЦЯ,Кістка між грудниною і лопаткою,7
ХРЕБЕЦЬ,Окрема кістка хребта,7
ГІПОФІЗ,Залоза мозку, що керує іншими залозами,7
ЗАЛОЗА,Орган, що виробляє гормони чи секрет,6
НАДНИРНИК,Залоза над ниркою,9
АПЕНДИКС,Невеликий відросток кишечника,8
СЕЧОВІД,Тонкий канал від нирки до міхура,7
СЕЧІВНИК,Канал для виведення сечі назовні,8
ЯЄЧНИК,Жіночий орган, що виробляє яйцеклітини,6
ПЛАЦЕНТА,Орган, що живить плід у матці,8
ЕМБРІОН,Зародок на ранній стадії розвитку,7
ЗАРОДОК,Початкова стадія розвитку живого організму,7
ЕПІДЕРМІС,Верхній шар шкіри,9
ПОРА,Крихітний отвір у шкірі,4
РОДИМКА,Темна пляма на шкірі з народження,7
ЗМОРШКА,Складка на шкірі, ознака старіння,7
СІТКІВКА,Оболонка ока, що сприймає світло,8
РОГІВКА,Прозора оболонка спереду ока,7
КРИШТАЛИК,Лінза всередині ока,9
