word,clue,length
ЛЕВ,Цар звірів із гривою,3
ТИГР,Найбільша смугаста дика кішка,4
ВЕДМІДЬ,Клишоногий господар лісу,7
ВОВК,Хижак, що виє на місяць,4
ЛИСИЦЯ,Руда хитра хижачка,6
ЗАЄЦЬ,Довговухий стрибун із заднім двором у полі,5
БІЛКА,Пухнастий гризун, що живе на деревах,5
ЇЖАК,Колючий нічний звір,4
КРІТ,Сліпий землерийний звір,4
БОРСУК,Смугастий нічний мешканець нори,6
ВИДРА,Спритний плавець із родини куницевих,5
БОБЕР,Будівник загат на річках,5
ОЛЕНЬ,Рогатий мешканець лісу,5
ЛОСЬ,Найбільший з оленевих,4
КАБАН,Дикий лісовий родич свині,5
ЗУБР,Європейський лісовий велетень,4
ЗЕБРА,Смугастий африканський родич коня,5
ЖИРАФ,Найвища тварина суходолу,5
СЛОН,Найбільший наземний ссавець,4
НОСОРІГ,Товстошкірий звір із рогом на морді,7
БЕГЕМОТ,Товстошкіра тварина, що живе у воді й на суходолі,7
ГОРИЛА,Найбільша людиноподібна мавпа,6
ШИМПАНЗЕ,Найближчий родич людини серед приматів,8
МАВПА,Спритний примат на дереві,5
КЕНГУРУ,Австралійський стрибун із сумкою,7
КОАЛА,Австралійський звір, що їсть евкаліпт,5
ПАНДА,Чорно-білий ведмідь, що їсть бамбук,5
ЛІНИВЕЦЬ,Найповільніший ссавець на дереві,8
ДИКОБРАЗ,Гризун, вкритий гострими голками,8
СКУНС,Звір, що відлякує запахом,5
ЄНОТ,Смугастохвостий звір-полоскун,4
ГІЄНА,Хижак із характерним сміхом,5
ШАКАЛ,Невеликий хижак родини псових,5
РИСЬ,Дика кішка з китицями на вухах,4
ПАНТЕРА,Чорна велика дика кішка,7
ЛЕОПАРД,Плямиста велика дика кішка,7
ГЕПАРД,Найшвидша наземна тварина,6
ЯГУАР,Велика дика кішка Південної Америки,5
ПУМА,Гірський лев Північної Америки,4
КАЖАН,Єдиний ссавець, що літає,5
КИТ,Найбільша тварина планети,3
ДЕЛЬФІН,Розумний морський ссавець,7
ТЮЛЕНЬ,Ластоногий мешканець холодних морів,6
МОРЖ,Ластоногий велетень з бивнями,4
АКУЛА,Хижа риба з гострими зубами,5
НАРВАЛ,Кит із довгим спіральним бивнем,6
КОСАТКА,Хижий дельфін, якого звуть кит-убивця,7
ЛАСКА,Найменший хижак родини куницевих,5
ТХІР,Смердючий родич куниці,4
КУНИЦЯ,Спритний лісовий хижак,6
ГОРНОСТАЙ,Куниця, що взимку біліє,9
ЛАМА,Довгошиїй родич верблюда в Андах,4
АЛЬПАКА,Пухнастий родич лами,7
ВЕРБЛЮД,Тварина пустелі з горбом,7
КІНЬ,Свійська тварина для їзди верхи,4
ОСЕЛ,Впертий довговухий родич коня,4
КОРОВА,Свійська тварина, що дає молоко,6
ВІВЦЯ,Свійська тварина, що дає вовну,5
БАРАН,Самець вівці із закрученими рогами,5
КОЗА,Свійська рогата тварина з бородою,4
СВИНЯ,Свійська тварина з п'ятачком,5
КРОЛИК,Довговухий гризун із теплою шубкою,6
ОРЕЛ,Гордий хижий птах у горах,4
СОКІЛ,Швидкісний хижий птах,5
ЯСТРУБ,Хижий птах, що чатує з висоти,6
СОВА,Нічний хижий птах з великими очима,4
ПУГАЧ,Найбільша сова Європи,5
ВОРОНА,Чорний кмітливий птах,6
СОРОКА,Птах-балакунка, що краде блискучі речі,6
ЛАСТІВКА,Птах, чий приліт віщує весну,8
ЛЕЛЕКА,Птах, що приносить, за повір'ям, немовлят,6
ЖУРАВЕЛЬ,Птах, що курличе, летячи на південь,8
ЛЕБІДЬ,Граційний білий птах на озері,6
ГУСАК,Свійський птах, що шипить на чужих,5
КАЧКА,Свійський птах із перетинчастими лапами,5
КУРКА,Свійський птах, що несе яйця,5
ПІВЕНЬ,Свійський птах, що будить зранку,6
