word,clue,length
БІЗОН,Кошлатий велетень американських прерій,5
ФЕНЕК,Найменша лисиця пустелі з величезними вухами,5
СУРИКАТ,Дрібний південноафриканський звір, що стоїть на задніх лапах,7
ВОМБАТ,Австралійський сумчастий землерий,6
ОПОСУМ,Сумчастий звір, що вдає мертвого від страху,6
ШИНШИЛА,Гризун із надзвичайно густим хутром,7
БУРУНДУК,Смугастий гризун, схожий на маленьку білку,8
ТУШКАНЧИК,Стрибучий пустельний гризун з довгими задніми лапами,9
ГОФЕР,Північноамериканський земляний гризун,5
НУТРІЯ,Великий водяний гризун із цінним хутром,6
РОСОМАХА,Хижак родини куницевих із дуже міцними щелепами,8
АНТИЛОПА,Стрункий бігучий рогатий звір саван,8
ГАЗЕЛЬ,Витончена швидконога антилопа,6
ГНУ,Африканська антилопа з бичачою головою,3
БУЙВІЛ,Велика рогата худоба тропічних боліт,6
МУФЛОН,Дикий предок свійської вівці,6
ЛАНЬ,Невеликий вид оленя з плямистою шкірою,4
КОЗЕРІГ,Дикий гірський цап,7
