word,clue,length
ХУДИЙ,Той, хто має мало ваги про людину,5
КРЕМЕЗНИЙ,Той, хто міцної та широкої статури,9
СТРУНКИЙ,Той, хто має гарну підтягнуту поставу,8
КУЧЕРЯВИЙ,Той, чиє волосся закручене кільцями,9
ЛИСИЙ,Той, хто без волосся на голові,5
БОРОДАТИЙ,Той, хто має волосся на підборідді,9
ВУСАТИЙ,Той, хто має волосся над губою,7
РУСЯВИЙ,Той, чиє волосся світло-каштанового кольору,7
РУДИЙ,Той, чиє волосся вогняно-помаранчевого кольору,5
СИВИЙ,Той, чиє волосся побіліло з віком,5
КАРООКИЙ,Той, чиї очі коричневого кольору,8
ГОЛУБООКИЙ,Той, чиї очі кольору ясного неба,10
ЗЕЛЕНООКИЙ,Той, чиї очі кольору трави,10
