word,clue,length
ПОРТИК,Критий вхід із колонами перед фасадом,6
ФРОНТОН,Трикутне завершення фасаду під дахом,7
БАЛЮСТРАДА,Огорожа з фігурних стовпчиків,10
КОНТРФОРС,Виступ стіни, що зміцнює конструкцію,9
НЕФ,Поздовжня частина храму між рядами колон,3
АПСИДА,Напівкругла прибудова вівтарної частини храму,6
ТРАНСЕПТ,Поперечна частина храму у формі хреста,8
АТРІУМ,Внутрішній двір, відкритий до неба,6
ПЕРИСТИЛЬ,Двір, оточений колонадою з усіх боків,9
АКВЕДУК,Споруда-міст для подачі води на відстань,7
БАЗИЛІКА,Витягнутий храм із поздовжніми нефами,8
РОТОНДА,Кругла в плані споруда з куполом,7
ЦИТАДЕЛЬ,Найукріпленіша частина фортеці,8
БАСТІОН,Виступ укріплення для флангового вогню,7
РІВ,Заглиблення навколо фортеці з водою,3
ДОНЖОН,Головна укріплена вежа середньовічного замку,6
БРУТАЛІЗМ,Стиль із неприхованим грубим бетоном,9
