word,clue,length
ПОЛОТНО,Тканина, натягнута на раму для малювання,7
МОЛЬБЕРТ,Підставка для картини під час малювання,8
ПАЛІТРА,Дощечка для змішування фарб,7
ПЕНЗЕЛЬ,Інструмент з ворсом для нанесення фарби,7
АКВАРЕЛЬ,Прозора водорозчинна фарба,8
ГУАШ,Густа непрозора фарба на воді,4
ОЛІЙНІ,Фарби ..., замішані на маслі,6
ВУГІЛЛЯ,Чорна паличка для малюнків,7
ПАСТЕЛЬ,М'які кольорові палички для малювання,7
ЕТЮД,Швидкий начерк з натури,4
НАТЮРМОРТ,Зображення нерухомих предметів,9
ПЕЙЗАЖ,Зображення природи,6
АВТОПОРТРЕТ,Зображення художника самого себе,11
СКУЛЬПТОР,Митець, що створює об'ємні фігури,9
РІЗЕЦЬ,Інструмент скульптора для обробки матеріалу,6
