word,clue,length
СУПУТНИК,Тіло, що обертається навколо планети,8
ОРБІТА,Шлях руху небесного тіла навколо іншого,6
СУЗІРЯ,Група зірок з умовною фігурою,6
ГАЛАКТИКА,Величезне скупчення зірок, планет і газу,9
ТУМАННІСТЬ,Хмара газу й пилу в космосі,9
ЧОРНА,Діра ..., що поглинає навіть світло,5
НЕЙТРОННА,Зоря ... надзвичайної густини після вибуху,9
ПУЛЬСАР,Зоря, що випромінює регулярні імпульси,7
КВАЗАР,Надзвичайно яскраве ядро далекої галактики,6
МЕТЕОРИТ,Уламок каменю з космосу, що впав на Землю,8
БОЛІД,Дуже яскравий метеор,5
КОМЕТА,Крижане тіло з довгим хвостом,6
АСТЕРОЇД,Малий кам'яний об'єкт, що обертається навколо Сонця,8
ЗАТЕМНЕННЯ,Тимчасове закриття одного світила іншим,10
ПАРСЕК,Одиниця виміру відстані в астрономії,6
