word,clue,length
ЛІТАК,Літальний апарат з крилами й двигуном,5
ВЕРТОЛІТ,Літальний апарат з несучим гвинтом,8
ФЮЗЕЛЯЖ,Корпус літака,7
КРИЛО,Частина літака, що створює підйомну силу,5
ШАСІ,Опорна система літака для зльоту й посадки,4
ПІЛОТ,Той, хто керує літаком,5
ШТУРМАН,Той, хто прокладає курс судна чи літака,7
ДИСПЕТЧЕР,Той, хто керує рухом літаків з землі,9
АЕРОПОРТ,Комплекс споруд для зльоту й посадки літаків,8
АНГАР,Будівля для зберігання й ремонту літаків,5
ТУРБІНА,Двигун реактивного літака,7
ПАРАШУТ,Пристрій для сповільнення падіння з висоти,7
ДИРИЖАБЛЬ,Керований літальний апарат легший за повітря,9
ПЛАНЕР,Літальний апарат без двигуна,6
ІЛЮМІНАТОР,Кругле вікно в літаку чи кораблі,10
