word,clue,length
БУХАНКА,Цілий випечений хліб,7
БАТОН,Довгастий білий хліб,5
БУЛОЧКА,Невеликий солодкий виріб з тіста,7
ХАЛА,Плетений святковий хліб,4
БАРАНКА,Круглий сухий бублик з тіста,7
СУХАР,Висушений шматок хліба,5
ТІСТО,Замішана основа для випічки,5
ЗАКВАСКА,Основа для підняття тіста без дріжджів,8
ДРІЖДЖІ,Гриби, що піднімають тісто,7
ДЕКО,Плоский лист для випікання,4
ДУХОВКА,Пристрій для випікання,7
ПЕКАР,Той, хто випікає хліб,5
ПШЕНИЦЯ,Зернова культура для борошна,7
БОРОШНО,Змелене зерно для випічки,7
СКИБКА,Тонко відрізаний шматок хліба,6
