word,clue,length
ВЕЛОСИПЕД,Двоколісний засіб пересування без двигуна,9
КЕРМО,Частина для керування напрямком руху,5
СІДЛО,Місце для сидіння велосипедиста,5
ПЕДАЛЬ,Деталь, яку крутять ногами,6
ЛАНЦЮГ,Передає рух від педалей до колеса,6
ГАЛЬМО,Пристрій для зупинки руху,6
ШИНА,Гумова оболонка колеса,4
СПИЦЯ,Тонкий металевий стрижень колеса,5
КОЛЕСО,Кругла деталь, що котиться,6
РАМА,Основна конструкція велосипеда,4
ЗІРОЧКА,Зубчастий диск трансмісії велосипеда,7
НАСОС,Пристрій для накачування шин,5
ВІДБИВАЧ,Деталь для видимості в темряві,8
ШОЛОМ,Захисне спорядження для голови велосипедиста,5
ВЕЛОСИПЕДИСТ,Той, хто їде на двох колесах,12
