word,clue,length
ЦИТОПЛАЗМА,Внутрішній вміст клітини навколо ядра,10
МЕМБРАНА,Оболонка, що відмежовує клітину,8
МІТОХОНДРІЯ,Органела, що виробляє енергію клітини,11
РИБОСОМА,Органела, що синтезує білок,8
ВАКУОЛЯ,Порожнина в клітині, заповнена рідиною,7
ХЛОРОПЛАСТ,Органела рослини, що вловлює світло,10
ФОТОСИНТЕЗ,Процес утворення поживних речовин рослиною зі світла,10
ДИХАННЯ,Процес отримання кисню й виділення вуглекислого газу,7
МЕТАБОЛІЗМ,Сукупність усіх хімічних процесів організму,10
ОРГАНІЗМ,Окрема жива істота,8
ТКАНИНА,Група однакових клітин з однією функцією,7
ОРГАН,Частина тіла з певною функцією,5
СИСТЕМА,Кілька органів, що працюють разом,7
ВИД,Група схожих організмів, здатних давати плідне потомство,3
РІД,Група близьких видів у класифікації,3
КЛАС,Велика таксономічна група живого,4
ПОПУЛЯЦІЯ,Група особин одного виду на певній території,9
СЕРЕДОВИЩЕ,Умови, у яких живе організм,10
АДАПТАЦІЯ,Пристосування виду до умов існування,9
МУТАЦІЯ,Раптова зміна спадкової інформації,7
СПАДКОВІСТЬ,Передавання ознак від батьків до нащадків,11
МІНЛИВІСТЬ,Здатність організмів відрізнятися ознаками,10
СИМБІОЗ,Взаємовигідне співжиття двох видів,7
ПАРАЗИТ,Організм, що живиться коштом іншого,7
ХИЖАЦТВО,Полювання одного виду на інший заради їжі,8
