word,clue,length
СИЧ,Найменша сова наших країв,3
СИПУХА,Сова із серцеподібним білим обличчям,6
ОДУД,Птах із чубчиком-віялом на голові,4
ІВОЛГА,Яскраво-жовтий лісовий птах з мелодійним свистом,6
ЩИГЛИК,Дрібний строкатий птах з червоною маскою,6
ЗЯБЛИК,Дрібний лісовий птах, що прилітає навесні,6
ВІЛЬШАНКА,Птах із яскраво-рудими грудьми,9
ТРЯСОГУЗКА,Птах, що постійно похитує хвостом,10
ДРІЗД,Лісовий птах із дзвінким співом,5
ОМЕЛЮХ,Хохлатий зимовий гість із червоними цятками на крилах,6
СОРОКОПУД,Хижий співочий птах, що настромлює здобич на колючки,9
КУЛИК,Прибережний довгоногий птах,5
БЕКАС,Болотяний птах з довгим прямим дзьобом,5
ВАЛЬДШНЕП,Лісовий довгодзьобий птах присмерку,9
ЛИСКА,Чорний водоплавний птах з білою бляшкою на лобі,5
НОРЕЦЬ,Водоплавний птах, що глибоко пірнає,6
ГАГАРА,Північний водоплавний птах із моторошним криком,6
КРИЖЕНЬ,Найпоширеніша дика качка,7
ЧИРОК,Дрібна швидка качка,5
ГОГОЛЬ,Пірникова качка з дуплистим гніздом,6
ЛУНЬ,Степовий хижий птах, що ширяє низько над полем,4
ШУЛІКА,Хижий птах з роздвоєним хвостом,6
ОРЛАН,Великий хижак, що полює на рибу,5
САПСАН,Найшвидший хижий птах у пікіруванні,6
КОБЧИК,Дрібний сокіл степів і лісосмуг,6
БОРИВІТЕР,Сокіл, що зависає на місці, тріпочучи крилами,9
ДРІМЛЮГА,Нічний птах з моторошним деренчливим криком,8
СЕРПОКРИЛЕЦЬ,Швидкий птах, що майже не сідає на землю,12
СТРИЖ,Птах, схожий на ластівку, з дуже довгими крилами,5
ОЧЕРЕТЯНКА,Дрібний співочий птах прибережних заростей,10
КРОПИВНИК,Крихітний рудуватий птах із задертим хвостом,9
СОЙКА,Лісовий птах, що вміє наслідувати голоси,5
ГАЛКА,Дрібна чорно-сіра родичка ворони,5
ГРАК,Чорний польовий птах із білим дзьобом,4
