word,clue,length
БОЦЯН,Інша назва лелеки на заході України,5
СИНЬОЗОБКА,Дрібний співочий птах з яскравим синім горлом,10
ЖОВНА,Великий чорний дятел,5
КРЯКВА,Інша назва дикої качки-крижня,6
ГУСКА,Самиця гусака,5
КАЧЕНЯ,Дитинча качки,6
ГУСЕНЯ,Дитинча гусака,6
ПТАШЕНЯ,Дитинча птаха,7
ПІРЇНА,Одна пушинка з крила чи хвоста птаха,6
ЛЕВЕНЯ,Дитинча лева,6
ВОВЧЕНЯ,Дитинча вовка,7
ЛИСЕНЯ,Дитинча лисиці,6
ВЕДМЕЖА,Дитинча клишоногого лісового звіра,7
ЗАЙЧЕНЯ,Дитинча зайця,7
ЛОША,Дитинча коня,4
ТЕЛЯ,Дитинча корови,4
ЯГНЯ,Дитинча вівці,4
КОШЕНЯ,Дитинча кота,6
ЦУЦЕНЯ,Дитинча собаки,6
ПОРОСЯ,Дитинча свині,6
