word,clue,length
РОКІРОВКА,Особливий хід королем і турою одразу,9
ШАХ,Загроза королю на дошці,3
ЦУГЦВАНГ,Стан, коли будь-який хід погіршує позицію,8
ГАМБІТ,Жертва фігури заради переваги на початку партії,6
МІТТЕЛЬШПІЛЬ,Середня стадія шахової партії,12
НОТАЦІЯ,Запис ходів партії символами,7
БЛИЦ,Швидка партія з обмеженим часом на всю гру,4
КЛІТИНКА,Одна з полів шахової дошки,8
ТУЗ,Найстарша карта в колоді,3
ВАЛЕТ,Карта з молодим лицарем,5
ДАМА,Жіноча карта в колоді,4
МАСТЬ,Одна з чотирьох груп карт колоди,5
КОЗИР,Карта, що б'є будь-яку іншу масть,5
ПОКЕР,Карткова гра на комбінації й блеф,5
БЛЕФ,Обман суперника про силу своїх карт,4
ДЖОКЕР,Особлива карта без масті й номіналу,6
ПРЕФЕРАНС,Складна карткова гра на прикуп і хід,9
НАРДИ,Гра з фішками й кубиками на розкладній дошці,5
РЕВЕРСІ,Гра, де фішки перевертають, оточуючи кольором,7
МАДЖОНГ,Китайська гра з кістками-плитками,7
