word,clue,length
ПОСМІШКА,Вираз обличчя при радості,8
ПОКЛОН,Нахил тіла на знак поваги,6
ПОТИСК,Стискання руки при вітанні,6
ОБІЙМИ,Стискання людини руками з ніжністю,6
ПОЦІЛУНОК,Дотик губами як прояв почуттів,9
МОРГАННЯ,Швидке заплющування й розплющування ока,8
ЗІТХАННЯ,Глибокий видих від хвилювання чи втоми,8
ПОЗІХАННЯ,Мимовільне глибоке дихання від втоми,9
ГРИМАСА,Спотворений вираз обличчя,7
ЖЕСТ,Рух рукою для вираження думки,4
КИВОК,Рух головою на знак згоди,5
РУМЯНЕЦЬ,Почервоніння щік від хвилювання,8
ГИКАВКА,Мимовільні уривчасті звуки в горлі,7
СЛЬОЗА,Крапля рідини з ока при плачі,6
ТРЕМТІННЯ,Дрібне мимовільне здригання тіла,9
