word,clue,length
БУТЕРБРОД,Скибка хліба з накладеною начинкою,9
САЛАТ,Страва з нарізаних овочів чи інших продуктів,5
ЗАКУСКА,Легка страва перед основною їжею,7
ГАРНІР,Додаток до основної страви, зазвичай крупа чи овочі,6
ПРИПРАВА,Речовина для покращення смаку страви,8
СОУС,Рідка чи густа заправка до страви,4
МАРИНАД,Рідина для замочування продукту перед приготуванням,7
ФАРШ,Подрібнене мясо чи інший продукт,4
БУЛЬЙОН,Відвар з мяса, кісток чи овочів,7
ОМЛЕТ,Страва з яєць, збитих і смажених,5
ЯЄЧНЯ,Смажені яйця на сковороді,5
КАША,Страва з розвареної крупи,4
СНІДАНОК,Перший прийом їжі за день,8
ВЕЧЕРЯ,Останній прийом їжі за день,6
ПЕРЕКУС,Невеликий прийом їжі між основними,7
