word,clue,length
ВІВЧАРКА,Собака-пастух, часто на службі в поліції,8
БУЛЬДОГ,Собака зі зморшкуватою мордою й міцною щелепою,7
ТАКСА,Собака з дуже короткими лапами й видовженим тілом,5
ПУДЕЛЬ,Кучерявий декоративний собака,6
ХАСКІ,Собака з блакитними очима, схожий на вовка,5
МОПС,Дрібний собака зі приплюснутою мордою,4
БОКСЕР,Порода собаки з квадратною мордою,6
ДОГ,Один із найвищих собак,3
ШПІЦ,Пухнастий собака з гострою мордочкою,4
ЛАБРАДОР,Дружелюбний собака-поводир і рятувальник,8
РЕТРІВЕР,Собака, що приносить здобич мисливцю,8
ТЕРЄР,Невеликий жвавий мисливський собака на нірних звірів,5
ЧИХУАХУА,Найменша порода собак у світі,8
ДАЛМАТИНЕЦЬ,Собака з чорними цятками на білій шерсті,11
РОТВЕЙЛЕР,Великий міцний собака-охоронець,9
ДОБЕРМАН,Стрункий чуйний собака-охоронець,8
ПЕРС,Кіт із дуже довгою пухнастою шерстю й приплюснутою мордочкою,4
СІАМЕЦЬ,Кіт зі світлим тілом і темними лапами, вухами й мордочкою,7
СФІНКС,Порода котів без шерсті,6
МЕЙНКУН,Одна з найбільших порід свійських котів,7
БРИТАНЕЦЬ,Кіт із густою плюшевою шерстю й круглою мордою,9
