word,clue,length
БУДІВЛЯ,Споруда для життя чи роботи,7
ХМАРОЧОС,Дуже висока багатоповерхова будівля,8
ХАТА,Традиційне українське сільське житло,4
ХИЖА,Проста маленька будівля в горах чи лісі,4
КОТЕДЖ,Невеликий заміський будинок,6
ВІЛЛА,Розкішний заміський будинок,5
ЗАМОК,Укріплена середньовічна резиденція,5
ФОРТЕЦЯ,Укріплена споруда для оборони,7
ВЕЖА,Висока вузька споруда,4
ДЗВІНИЦЯ,Вежа для церковних дзвонів,8
СОБОР,Головний і найбільший храм міста,5
ЦЕРКВА,Споруда для християнського богослужіння,6
КАПЛИЦЯ,Невеликий молитовний храм,7
МОНАСТИР,Оселя ченців чи черниць,8
МЕЧЕТЬ,Мусульманський храм,6
СИНАГОГА,Юдейський храм,8
ПАГОДА,Буддійська культова вежа,6
МАВЗОЛЕЙ,Монументальна споруда-гробниця,8
ПАЛАЦ,Розкішна резиденція монарха чи вельможі,5
РЕЗИДЕНЦІЯ,Офіційне місце проживання очільника,10
РАТУША,Будівля міської влади в європейському місті,6
АМФІТЕАТР,Давня споруда з круговими рядами для глядачів,9
МАЯК,Вежа з ліхтарем для орієнтування суден,4
МЛИН,Споруда для помелу зерна вітром чи водою,4
ВІТРЯК,Млин, що працює від сили вітру,6
КОРІВНИК,Будівля для утримання худоби,8
СТАЙНЯ,Будівля для утримання коней,6
СВИРЕН,Комора для зберігання зерна,6
КОМОРА,Приміщення для зберігання припасів,6
СКЛАД,Приміщення для зберігання товарів,5
ЦЕХ,Виробничий підрозділ заводу,3
ФАБРИКА,Велике промислове підприємство,7
ЗАВОД,Промислове підприємство з виробництва,5
ЕЛЕВАТОР,Споруда для зберігання зерна,8
АНГАР,Велика споруда для літаків чи техніки,5
ГОТЕЛЬ,Заклад для тимчасового проживання гостей,6
ХОСТЕЛ,Бюджетний заклад для тимчасового проживання,6
ПАНСІОНАТ,Заклад для тривалого проживання з харчуванням,9
ФУНДАМЕНТ,Основа будівлі під землею,9
ЦЕГЛА,Матеріал для кладки стін у вигляді бруска,5
БЕТОН,Будівельний матеріал із суміші цементу й каменю,5
ЦЕМЕНТ,В'яжучий будівельний порошок,6
ШТУКАТУРКА,Оздоблювальний шар на стіні,10
ФАСАД,Зовнішня лицьова сторона будівлі,5
АРКА,Дугоподібний архітектурний проріз,4
КОЛОНА,Вертикальна опора будівлі,6
КУПОЛ,Опукле склепінчасте покриття будівлі,5
ФЛІГЕЛЬ,Бічна прибудова до основної будівлі,7
МАНСАРДА,Житлове приміщення під самим дахом,8
ГОРИЩЕ,Простір під дахом над стелею,6
ПІДВАЛ,Приміщення нижче рівня землі,6
ПІДЗЕМЕЛЛЯ,Прихований простір під землею,10
