word,clue,length
КОМПАНІЯ,Об'єднання людей заради спільної справи чи бізнесу,8
ФІРМА,Комерційне підприємство,5
КОРПОРАЦІЯ,Велике об'єднання підприємств,10
ФІЛІЯ,Відділення компанії в іншому місці,5
АКЦІОНЕР,Власник частки компанії,8
ЗАСІДАННЯ,Офіційна нарада для вирішення справ,9
НАРАДА,Зустріч для обговорення робочих питань,6
ПЕРЕГОВОРИ,Обговорення умов між сторонами,10
ПІДПИС,Власноручний знак під документом,6
ПЕЧАТКА,Штамп, що засвідчує документ,7
БЛАНК,Стандартний аркуш для заповнення,5
ЗВІТ,Документ з підсумками роботи,4
ПРОЄКТ,Задум, що готують до втілення,6
ЗАВДАННЯ,Робота, яку треба виконати,8
ТЕРМІН,Кінцева дата виконання,6
ДЕДЛАЙН,Крайній термін здачі роботи,7
ВАКАНСІЯ,Вільна робоча посада,8
СПІВБЕСІДА,Розмова з кандидатом на посаду,10
РЕЗЮМЕ,Короткий опис досвіду кандидата,6
СТАЖУВАННЯ,Практика для здобуття досвіду,10
ПРЕМІЯ,Додаткова винагорода за успіхи,6
ЗВІЛЬНЕННЯ,Припинення трудових відносин,10
ЛІКАРНЯНИЙ,Документ про тимчасову непрацездатність,10
