word,clue,length
ЦУКЕРКА,Невеликий солодкий виріб в обгортці,7
ШОКОЛАД,Солодка плитка з какао,7
КАРАМЕЛЬ,Тверда солодка маса з розтопленого цукру,8
ІРИСКА,В'язка тягуча цукерка,6
ЖУВАЛЬНА,Гумка ..., яку жують, не ковтаючи,8
ЛЕДЕНЕЦЬ,Тверда цукерка на паличці чи без,8
ЗЕФІР,Повітряний солодкий десерт з желатину,5
МАРМЕЛАД,Желейні солодощі з фруктового соку,8
ПАСТИЛА,Плоский солодкий десерт з фруктового пюре,7
НУГА,В'язкий десерт з горіхами й медом,4
ХАЛВА,Солодка маса з розтертого насіння чи горіхів,5
ПРЯНИК,Солодка випічка з медом і прянощами,6
ВАФЛЯ,Хрустка випічка з рельєфним візерунком,5
ПОВИДЛО,Густа солодка маса з фруктів,7
ДЖЕМ,Солодка маса з цілих чи подрібнених фруктів,4
