word,clue,length
ЛЮБЛЯНА,Столиця в передгір'ях Альп на північному заході Балкан,7
ЗАГРЕБ,Столиця над річкою Сава,6
ПОДГОРИЦЯ,Столиця найменшої з колишніх югославських республік,9
САРАЄВО,Столиця, оточена горами, з мостом убивства ерцгерцога,7
ТИРАНА,Столиця біля підніжжя гори Дайті,6
НІКОСІЯ,Єдина у світі розділена навпіл столиця,7
ВАЛЕТТА,Столиця острівної фортеці лицарів,7
ВАДУЦ,Столиця крихітної альпійської держави між Швейцарією й Австрією,5
ВАТИКАН,Найменша держава-місто у світі,7
АСТАНА,Спланована степова столиця Центральної Азії,6
ТАШКЕНТ,Столиця найгустонаселенішої країни Центральної Азії,7
АШХАБАД,Мармурова столиця на краю пустелі Каракуми,7
БІШКЕК,Столиця в оточенні засніжених гір Тянь-Шаню,6
ДУШАНБЕ,Столиця, чия назва означає день понеділка,7
ДАКАР,Найзахідніша столиця материкової Африки,5
АККРА,Столиця на узбережжі Гвінейської затоки,5
ЛУАНДА,Столиця нафтової країни на південному заході Африки,6
ХАРАРЕ,Столиця, названу колись на честь британського політика,6
ЛУСАКА,Столиця країни водоспаду Вікторія,6
ГАБОРОНЕ,Столиця країни пустелі Калахарі,8
МАПУТУ,Столиця на південно-східному узбережжі Африки,6
КАМПАЛА,Столиця на пагорбах біля озера Вікторія,7
ЯУНДЕ,Столиця центральноафриканської країни какао,5
МОНТЕВІДЕО,Столиця над естуарієм Ла-Плата,10
ДАККА,Одна з найгустонаселеніших столиць світу,5
КОЛОМБО,Найбільше місто острівної країни чаю,7
КАТМАНДУ,Столиця біля підніжжя Евересту,8
ПНОМПЕНЬ,Столиця на злитті чотирьох річок Індокитаю,8
СУВА,Столиця тихоокеанського архіпелагу,4
