word,clue,length
АКСЕЛЕРАТОР,Педаль, яку тиснуть, щоб додати швидкості,11
ЗЧЕПЛЕННЯ,Педаль для перемикання передач,9
КОРОБКА,Вузол, що передає обертання від двигуна на колеса,7
ПЕРЕДАЧА,Один із ступенів швидкості в коробці,8
ГЛУШНИК,Вузол, що знижує шум вихлопу,7
ВИХЛОП,Гази, що виходять із двигуна назовні,6
РАДІАТОР,Вузол, що охолоджує двигун,8
ПІДВІСКА,Система, що згладжує нерівності дороги,8
АМОРТИЗАТОР,Деталь, що гасить поштовхи від нерівностей,11
МОТОР,Інша назва двигуна автомобіля,5
ПОРШЕНЬ,Деталь циліндра, що рухається вгору-вниз,7
КЛАПАН,Деталь, що впускає й випускає гази з циліндра,6
СТАРТЕР,Вузол, що запускає двигун при повороті ключа,7
ПАНЕЛЬ,Щиток із приладами перед водієм,6
СКЛООЧИСНИК,Деталь, що змітає дощ зі скла,11
АНТЕНА,Пристрій для прийому радіосигналу на даху,6
БАК,Місткість для запасу пального,3
