word,clue,length
СЕДАН,Легковий кузов з окремим багажником,5
ХЕТЧБЕК,Легковий кузов з дверима, що відкриваються вгору ззаду,7
УНІВЕРСАЛ,Кузов з подовженим багажним відділенням,9
КАБРІОЛЕТ,Автомобіль зі знімним чи складним дахом,9
ПІКАП,Автомобіль з вантажною платформою ззаду,5
МІНІВЕН,Просторий автомобіль для перевезення багатьох пасажирів,7
ПОЗАШЛЯХОВИК,Автомобіль підвищеної прохідності,12
КУПЕ,Дводверний спортивний кузов автомобіля,4
ФУРГОН,Закритий вантажний автомобіль,7
ТЮНІНГ,Переробка автомобіля для покращення вигляду чи характеристик,6
САЛОН,Внутрішній простір автомобіля для пасажирів,5
КАПОТ,Кришка, що закриває двигун спереду,5
БАМПЕР,Захисна деталь спереду й ззаду автомобіля,6
ФАРА,Прилад для освітлення дороги спереду,4
ДВЕРЦЯТА,Стулка для входу в автомобіль,8
