word,clue,length
СТО,Скорочення для місця ремонту автомобілів,3
МЕХАНІК,Той, хто ремонтує двигуни й механізми,7
ДОМКРАТ,Пристрій для підняття автомобіля,7
БАЛОННИЙ,Ключ ... для відкручування коліс,8
МАСТИЛО,Речовина для зменшення тертя деталей,7
ФІЛЬТР,Деталь для очищення повітря чи оливи,6
СВІЧКА,Деталь запалювання пального в двигуні,6
АКУМУЛЯТОР,Пристрій для запуску двигуна й живлення,10
ГЕНЕРАТОР,Пристрій, що заряджає акумулятор під час руху,9
РАДІАТОР,Деталь охолодження двигуна,8
ЗЧЕПЛЕННЯ,Механізм для перемикання передач,9
КОРОБКА,Передач ..., механізм перемикання швидкостей,7
ВИХЛОП,Система відведення відпрацьованих газів,6
ПІДВІСКА,Система, що згладжує нерівності дороги,8
ШИНОМОНТАЖ,Заклад для заміни й ремонту шин,10
