word,clue,length
СФІНКС,Безшерста порода котів,6
ПЕРСИДСЬКИЙ,Довгошерстий кіт з приплюснутою мордочкою,11
СІАМСЬКИЙ,Кіт зі світлим тілом і темною мордочкою,9
БРИТАНСЬКИЙ,Кіт з густою короткою шерстю й круглою мордою,11
МЕЙНКУН,Одна з найбільших порід домашніх котів,7
БЕНГАЛЬСЬКИЙ,Кіт з плямистим, схожим на дикого, забарвленням,12
РЕКС,Кіт з кучерявою шерстю,4
МУРКОТІННЯ,Тихий вібруючий звук задоволеного кота,10
ПАЗУР,Гострий вигнутий відросток на лапі,5
ВУСИКИ,Чутливі волоски на мордочці кота,6
КІГТЕТОЧКА,Пристрій для дряпання кігтів удома,10
ШЕРСТЬ,Волосяний покрив тварини,6
КОТЯЧА,М'ята ..., рослина, що п'янить котів,6
НАШИЙНИК,Ремінець на шиї домашньої тварини,8
ЛОТОК,Ємність для котячого туалету,5
