word,clue,length
МАРГАНЕЦЬ,Метал у складі сталі та батарейок,9
КОБАЛЬТ,Метал, що дає синій колір склу,7
ВАНАДІЙ,Метал у міцних сплавах,7
ЦИРКОНІЙ,Метал, стійкий до кислот,8
ГАЛІЙ,Метал, що тане в долоні,5
ГЕРМАНІЙ,Напівпровідниковий метал,8
СЕЛЕН,Елемент у сонячних панелях,5
БРОМ,Єдиний рідкий неметал,4
КРИПТОН,Інертний газ у лампах,7
РУБІДІЙ,М'який лужний метал,7
СТРОНЦІЙ,Метал у феєрверках, дає червоний колір,8
ІТРІЙ,Метал у лазерах,5
НІОБІЙ,Метал у надпровідниках,6
МОЛІБДЕН,Метал у міцних сплавах,8
РУТЕНІЙ,Рідкісний платиновий метал,7
РОДІЙ,Дорогий сріблястий метал,5
ПАЛАДІЙ,Метал у каталізаторах авто,7
КАДМІЙ,Токсичний метал у старих батарейках,6
ІНДІЙ,М'який метал у сенсорних екранах,5
ТЕЛУР,Крихкий напівметал,5
КСЕНОН,Інертний газ у фарах авто,6
ЦЕЗІЙ,Метал, за яким звіряють годинники,5
БАРІЙ,Метал у рентгенівській діагностиці,5
ЛАНТАН,Перший з рідкісноземельних металів,6
ЦЕРІЙ,Метал у кремінцях запальничок,5
ГАФНІЙ,Тугоплавкий метал,6
ТАНТАЛ,Метал у конденсаторах,6
ВОЛЬФРАМ,Метал з найвищою температурою плавлення,8
РЕНІЙ,Один із найрідкісніших металів,5
ОСМІЙ,Найважчий природний метал,5
ІРИДІЙ,Найстійкіший до корозії метал,6
ТАЛІЙ,Отруйний метал, колись званий "спадковим порошком",5
ВІСМУТ,Метал у складі деяких ліків,6
ПОЛОНІЙ,Радіоактивний метал, відкритий Кюрі,7
РАДОН,Радіоактивний інертний газ,5
РАДІЙ,Радіоактивний метал, що світиться,5
АКТИНІЙ,Радіоактивний метал, що дає назву цілій групі,7
ТОРІЙ,Радіоактивний метал, паливо майбутніх реакторів,5
ПЛУТОНІЙ,Радіоактивний метал ядерної зброї,8
НЕПТУНІЙ,Радіоактивний елемент за ураном,8
КЮРІЙ,Елемент, названий на честь подружжя фізиків,5
КИСЛОТА,Речовина з кислим смаком і рН нижче семи,7
ЛУГ,Речовина, протилежна кислоті за властивостями,3
ОКИСНИК,Речовина, що забирає електрони,7
ВІДНОВНИК,Речовина, що віддає електрони,9
ОСАД,Тверда речовина, що випадає з розчину,4
РОЗЧИННИК,Рідина, що розчиняє інші речовини,9
РЕАГЕНТ,Речовина для хімічної реакції,7
ІНДИКАТОР,Речовина, що змінює колір у кислоті чи лузі,9
ЛАКМУС,Індикатор, що червоніє в кислоті,6
МЕТАН,Найпростіший вуглеводень, основа природного газу,5
ЕТАН,Другий у ряду вуглеводнів,4
ПРОПАН,Газ у побутових балонах,6
БУТАН,Газ у запальничках,5
СПИРТ,Летка речовина, основа алкоголю,5
ЕТАНОЛ,Хімічна назва питного спирту,6
АЦЕТОН,Розчинник для лаку з нігтів,6
БЕНЗОЛ,Ароматична вуглеводнева сполука,6
ПОЛІМЕР,Молекула з довгого ланцюга однакових ланок,7
ПЛАСТИК,Синтетичний матеріал з полімерів,7
КАУЧУК,Природна основа гуми,6
ЦЕЛЮЛОЗА,Полімер, з якого складається деревина,8
КРОХМАЛЬ,Вуглевод, що загущує кисіль,8
ГЛЮКОЗА,Найпростіший цукор у крові,7
САХАРОЗА,Звичайний столовий цукор,8
АМОНІАК,Різкий газ, основа нашатирного спирту,7
ХЛОРИД,Сполука хлору з металом,6
СУЛЬФАТ,Сіль сірчаної кислоти,7
НІТРАТ,Сіль азотної кислоти,6
КАРБОНАТ,Сіль вугільної кислоти,8
ОКСИД,Сполука елемента з киснем,5
ГІДРОКСИД,Сполука металу з групою ОН,9
ПЕРОКСИД,Сполука з надлишком кисню,8
СОДА,Питна ...,4
АЛХІМІЯ,Середньовічний попередник хімії,7
КАТАЛІЗ,Прискорення реакції без витрати речовини,7
СИНТЕЗ,Утворення складної речовини з простих,6
ГОРІННЯ,Швидка реакція з виділенням тепла й світла,7
ОКИСНЕННЯ,Втрата електронів речовиною,9
ЕЛЕКТРОЛІЗ,Розклад речовини струмом у розчині,10
ДИСТИЛЯЦІЯ,Очищення рідини перегонкою,10
ФІЛЬТРАЦІЯ,Відділення твердого від рідкого крізь пори,10
КОНДЕНСАЦІЯ,Перехід пари в рідину,11
СУБЛІМАЦІЯ,Перехід твердого одразу в газ,10
