word,clue,length
ЧИКАГО,Велике місто на березі озера Мічиган,6
МАЯМІ,Курортне місто Флориди,5
ВЕНЕЦІЯ,Італійське місто на каналах замість вулиць,7
МІЛАН,Італійська столиця моди й футбольних клубів,5
БАРСЕЛОНА,Каталонське місто з собором Святого Сімейства,9
МЮНХЕН,Баварське місто пивних фестивалів,6
ГАМБУРГ,Найбільший порт Німеччини,7
ФРАНКФУРТ,Німецьке фінансове місто на однойменній річці,9
ЛІВЕРПУЛЬ,Англійське місто, що дало світові четвірку музикантів,9
МАНЧЕСТЕР,Англійське місто двох суперницьких футбольних клубів,9
ЕДИНБУРГ,Столиця Шотландії із середньовічним замком,8
РОТТЕРДАМ,Найбільший порт Нідерландів,9
СТАМБУЛ,Турецьке місто на двох континентах,7
ШАНХАЙ,Найбільше місто Китаю за населенням,6
ГОНКОНГ,Колишня британська колонія-мегаполіс на південному узбережжі Китаю,7
МУМБАЇ,Індійське фінансове місто, колишній Бомбей,6
ДУБАЙ,Місто хмарочосів у пустелі Перської затоки,5
СІДНЕЙ,Найбільше місто Австралії з відомим оперним театром,6
МЕЛЬБУРН,Австралійське місто, друге за населенням,8
ТОРОНТО,Найбільше місто Канади,7
ВАНКУВЕР,Канадське місто на тихоокеанському узбережжі,8
