word,clue,length
АПЕЛЬСИН,Круглий помаранчевий цитрусовий плід,8
МАНДАРИН,Дрібний солодкий цитрусовий плід, що легко чиститься,8
ГРЕЙПФРУТ,Великий гіркуватий цитрусовий плід,9
ЦЕДРА,Зовнішня ароматна частина шкірки цитрусового плоду,5
ДОЛЬКА,Одна частина цитрусового плоду,6
СІК,Видавлена рідина з фрукта,3
КІСТОЧКА,Тверде насіння всередині плоду,8
ШКІРКА,Зовнішнє покриття плоду,6
МЯКОТЬ,Соковита їстівна частина плоду,6
КОМПОТ,Солодкий напій з варених чи консервованих фруктів,6
ЦИТРИН,Жовтий напівдорогоцінний камінь, схожий кольором на цитрус,6
ВІТАМІН,Речовина, якою багаті цитрусові,7
ЦУКАТИ,Засушені в сиропі шматочки шкірки,6
СМУЗІ,Густий напій зі збитих фруктів,5
ЦИТРУСОВИЙ,Той, що належить до родини лимонних плодів,10
