word,clue,length
ПЛОЩА,Відкритий простір у центрі міста,5
ПРОСПЕКТ,Широка магістральна вулиця,8
ПРОВУЛОК,Вузька невелика вулиця,8
ТРОТУАР,Доріжка для пішоходів уздовж вулиці,7
ПІШОХІД,Той, хто йде по тротуару,7
СВІТЛОФОР,Пристрій з кольоровими сигналами для регулювання руху,9
ПЕРЕХРЕСТЯ,Місце перетину доріг,10
ЕСТАКАДА,Надземна споруда для проїзду транспорту,8
ХМАРОЧОС,Дуже висока будівля,8
МІКРОРАЙОН,Житловий масив міста,10
СПАЛЬНИЙ,Район ..., переважно житловий, без промисловості,8
ПАМЯТНИК,Споруда на честь визначної події чи особи,8
ФОНТАН,Споруда з декоративним струменем води,6
СКВЕР,Невеликий міський сад чи парк,5
БУЛЬВАР,Широка вулиця з алеєю посередині,7
