word,clue,length
СИМФОНІЯ,Велике оркестрове твір з кількох частин,8
СОНАТА,Музичний твір для одного чи двох інструментів,6
ОПЕРА,Театральна вистава, повністю проспівана,5
БАЛЕТ,Театральна вистава, розказана через танець,5
АРІЯ,Сольна вокальна частина опери,4
ХОР,Колектив співаків,3
ДИРИГЕНТ,Той, хто керує оркестром чи хором,8
КОМПОЗИТОР,Той, хто створює музичні твори,10
НОТА,Знак для запису висоти звуку,4
ТАКТ,Одиниця музичного часу,4
МЕЛОДІЯ,Послідовність звуків, що складають наспів,7
ГАРМОНІЯ,Приємне поєднання звуків,8
РИТМ,Чергування наголошених і ненаголошених долей,4
УВЕРТЮРА,Оркестровий вступ до опери чи вистави,8
РЕПЕРТУАР,Набір творів, готових до виконання,9
