word,clue,length
КАВА,Бадьорий напій із смажених зерен,4
ЕСПРЕСО,Міцна кава під тиском пари,7
КАПУЧИНО,Кава зі збитою молочною пінкою,8
ЛАТТЕ,Кава з великою кількістю молока,5
ЧАЙ,Настій із заварених листків рослини,3
ЗАВАРНИК,Невеликий чайник для настоювання листя,8
ГОРНЯ,Посудина для гарячого напою з ручкою,5
ТУРКА,Посудина для варіння кави на піску,5
ЗЕРНО,Насіння рослини, з якого мелють каву,5
МОЛОТИЙ,Подрібнений на дрібні частинки,7
ЦИКОРІЙ,Рослина, корінь якої заміняє каву,7
КАКАО,Солодкий напій із бобів шоколадного дерева,5
МОЛОЧНИЙ,Коктейль ..., збитий з морозивом,8
СИРОП,Густа солодка рідина для напоїв,5
ФІЛЬТР,Пристрій для очищення напою від осаду,6
