word,clue,length
ЧЕРВОНИЙ,Колір стиглого помідора чи крові,8
СИНІЙ,Колір ясного денного неба,5
ЖОВТИЙ,Колір стиглого лимона чи сонця,6
ЗЕЛЕНИЙ,Колір свіжої трави й листя,7
ЧОРНИЙ,Колір вугілля чи нічного неба,6
БІЛИЙ,Колір свіжого снігу,5
СІРИЙ,Колір хмарного неба,5
КОРИЧНЕВИЙ,Колір шоколаду чи землі,10
ОРАНЖЕВИЙ,Колір стиглого апельсина,9
ФІОЛЕТОВИЙ,Колір баклажана чи лаванди,10
РОЖЕВИЙ,Ніжний відтінок червоного,7
БУЗКОВИЙ,Ніжний відтінок фіолетового, як квіти навесні,8
БОРДОВИЙ,Темний густий відтінок червоного,8
БЕЖЕВИЙ,Світлий пісочно-коричневий відтінок,7
БЛАКИТНИЙ,Світлий відтінок синього, як безхмарне небо,9
БІРЮЗОВИЙ,Відтінок між синім і зеленим, як морська вода,9
ЗОЛОТИСТИЙ,Відтінок, схожий на дорогоцінний метал,10
СРІБЛЯСТИЙ,Відтінок, схожий на благородний білий метал,10
СМАРАГДОВИЙ,Насичений відтінок зеленого, як коштовний камінь,11
БУРШТИНОВИЙ,Теплий жовто-оранжевий відтінок,11
ВИШНЕВИЙ,Темно-червоний відтінок стиглої ягоди,8
МАЛИНОВИЙ,Яскраво-рожевий відтінок ягоди,9
КРЕМОВИЙ,М'який світло-жовтий відтінок,8
ШОКОЛАДНИЙ,Теплий темно-коричневий відтінок,10
ЛИМОННИЙ,Яскравий кислий жовтий відтінок,8
ТЕРАКОТОВИЙ,Рудувато-коричневий відтінок глиняних виробів,11
БАРВИСТИЙ,Наповнений безліччю яскравих відтінків,9
КОЛО,Фігура з усіма точками на однаковій відстані від центру,4
КВАДРАТ,Чотирикутник з рівними сторонами й прямими кутами,7
ТРИКУТНИК,Фігура з трьома сторонами й трьома кутами,9
ПРЯМОКУТНИК,Чотирикутник з прямими кутами й різними сторонами,11
РОМБ,Чотирикутник з рівними сторонами й косими кутами,4
ОВАЛ,Витягнута замкнена крива без кутів,4
ЦИЛІНДР,Об'ємна фігура з двома круглими основами,7
КОНУС,Об'ємна фігура, що звужується до вершини,5
КУЛЯ,Об'ємна фігура, усі точки якої рівновіддалені від центру,4
ПІРАМІДА,Об'ємна фігура з багатокутною основою й вершиною,8
КУБ,Об'ємна фігура з шістьма квадратними гранями,3
ТРАПЕЦІЯ,Чотирикутник з однією парою паралельних сторін,8
БАГАТОКУТНИК,Фігура з кількома прямими сторонами,12
ШЕСТИКУТНИК,Фігура із шістьма сторонами й кутами,11
ЗІРКА,Фігура з кількома променями, що сходяться в центрі,5
СПІРАЛЬ,Крива, що обертається навколо центру, віддаляючись,7
ДУГА,Частина замкненої кривої лінії,4
ЛІНІЯ,Слід точки, що рухається,5
ТОЧКА,Найменший умовний елемент простору без розміру,5
КУТ,Фігура з двох променів зі спільним початком,3
ВЕРШИНА,Точка перетину сторін фігури,7
СТОРОНА,Відрізок, що обмежує фігуру,7
ПЕРИМЕТР,Сума довжин усіх сторін фігури,8
ПЛОЩА,Величина внутрішньої частини плоскої фігури,5
НУЛЬ,Число, що означає відсутність кількості,4
ОДИН,Перше натуральне число,4
ДВА,Число після одиниці,3
ТРИ,Число після двійки,3
ЧОТИРИ,Число після трійки,6
ШІСТЬ,Число після п'ятірки,5
СІМ,Число після шістки,3
ВІСІМ,Число після сімки,5
ДЕСЯТЬ,Число після дев'ятки,6
СТО,Число з двома нулями після одиниці,3
ТИСЯЧА,Число з трьома нулями після одиниці,6
МІЛЬЙОН,Число з шістьма нулями після одиниці,7
МІЛЬЯРД,Число з дев'ятьма нулями після одиниці,7
ДЮЖИНА,Дванадцять предметів разом,6
ПОЛОВИНА,Одна з двох рівних частин цілого,8
ЧВЕРТЬ,Одна з чотирьох рівних частин цілого,6
ТРЕТИНА,Одна з трьох рівних частин цілого,7
ЦИФРА,Знак для запису числа,5
НОМЕР,Порядкове число предмета в ряду,5
