word,clue,length
ОЛИВКОВИЙ,Приглушений жовто-зелений відтінок, як плід середземноморського дерева,9
ХАКІ,Приглушений зелено-коричневий військовий відтінок,4
БЕЖ,Світлий пісочний відтінок,3
МОЛОЧНИЙ,М'який білуватий відтінок,8
ВОГНЯНИЙ,Яскраво-червоно-оранжевий відтінок,8
ІЗУМРУДНИЙ,Насичений зелений відтінок дорогоцінного каменя,10
САПФІРОВИЙ,Насичений синій відтінок дорогоцінного каменя,10
РУБІНОВИЙ,Насичений червоний відтінок дорогоцінного каменя,9
ЯНТАРНИЙ,Теплий жовто-оранжевий відтінок скам'янілої смоли,8
СРІБНИЙ,Блискучий сірувато-білий відтінок благородного металу,7
МІДНИЙ,Червонувато-оранжевий відтінок металу,6
СТАЛЕВИЙ,Холодний сірий відтінок металу,8
ВУГІЛЬНИЙ,Дуже темний, майже чорний відтінок,9
КРЕЙДЯНИЙ,Дуже блідий білуватий відтінок,9
