word,clue,length
ПРОЦЕСОР,"Головний обчислювальний вузол комп'ютера",8
ПАМЯТЬ,Пристрій для тимчасового зберігання даних,6
ДИСК,Носій для довготривалого зберігання даних,4
МОНІТОР,Екран для виведення зображення з комп'ютера,7
КЛАВІАТУРА,Набір кнопок для введення тексту,10
МИША,Маніпулятор для керування курсором,4
НАВУШНИКИ,Пристрій для прослуховування звуку,9
МІКРОФОН,Пристрій для запису звуку,8
КОЛОНКА,Пристрій для відтворення звуку,7
ВЕНТИЛЯТОР,Пристрій для охолодження компонентів,10
МАТЕРИНСЬКА,"Плата ..., що зєднує всі компоненти",11
БЛОК,Живлення, що подає струм на компоненти,4
ВІДЕОКАРТА,Пристрій для обробки й виведення зображення,10
КАБЕЛЬ,"Провід для зєднання пристроїв",6
РОЗЄМ,Гніздо для підключення кабелю,5
