word,clue,length
ЛІВІЯ,Північноафриканська країна з великими запасами нафти,5
СУДАН,Країна на північному сході Африки з двома столицями в минулому,5
ЧАД,Країна в самому серці Африки,3
НІГЕР,Пустельна країна, названа на честь великої річки,5
МАЛІ,Країна давніх імперій у Західній Африці,4
КАМЕРУН,Африканська країна у формі трикутника,7
СОМАЛІ,Країна Африканського рогу,6
РУАНДА,Малу гористу країну Африки звуть країною тисячі пагорбів,6
БУРУНДІ,Мала країна Африки біля озера Танганьїка,7
МАЛАВІ,Країна вздовж однойменного великого африканського озера,6
ГАБОН,Нафтова країна на екваторі Африки,5
БУТАН,Гімалайське королівство щастя,5
ЛАОС,Єдина країна Південно-Східної Азії без виходу до моря,4
КАМБОДЖА,Країна з храмовим комплексом Ангкор-Ват,8
БРУНЕЙ,Багата нафтою монархія на острові Борнео,6
ГРУЗІЯ,Кавказька країна з давньою винною традицією,6
ВІРМЕНІЯ,Кавказька країна під горою Арарат,8
АЗЕРБАЙДЖАН,Кавказька країна вогнів на березі Каспію,11
КИРГИЗСТАН,Гірська країна Центральної Азії з озером Іссик-Куль,10
ТАДЖИКИСТАН,Найгористіша країна колишнього Союзу,11
ТАЙВАНЬ,Острівна країна навпроти узбережжя материкового Китаю,7
