word,clue,length
ГОЛКА,Тонкий гострий інструмент із вушком для нитки,5
НИТКА,Тонка скручена пряжа для шиття,5
НАПЕРСТОК,Захисний ковпачок на палець для шиття,9
ШПУЛЬКА,Котушка з ниткою для швейної машини,7
ГАЧОК,Інструмент для в'язання петля в петлю,5
СПИЦЯ,Довга тонка паличка для в'язання,5
ПРЯЖА,Скручені нитки для в'язання,5
КЛУБОК,Змотана в кулю пряжа,6
ВИКРІЙКА,Паперовий шаблон для крою одягу,8
ПЕНЗЛИК,Маленький пензель для дрібної роботи,7
ПЛАСТИЛІН,М'який матеріал для ліплення фігурок,9
БІСЕР,Дрібні кольорові кульки для нанизування,5
БУСИНКА,Одна кулька з намиста,7
