word,clue,length
МОЛОКО,Білий поживний напій від корови,6
КЕФІР,Кисломолочний напій,5
РЯЖАНКА,Кисломолочний напій з топленого молока,7
СМЕТАНА,Густий кисломолочний продукт для заправки,7
ВЕРШКИ,Жирна частина молока, що спливає нагору,6
МАСЛО,Жировий продукт, збитий з вершків,5
ТВОРОГ,Кисломолочний продукт для сирників,6
БРИНЗА,Розсільний сир з овечого молока,6
ЙОГУРТ,Густий кисломолочний продукт з бактеріальною закваскою,6
ПРОСТОКВАША,Скисле кип'ячене молоко,10
МОЛОЗИВО,Перше молоко після пологів,8
ДІЙКА,Процес видоювання молока з тварини,5
ВИМЯ,Молочна залоза корови чи кози,4
СЕПАРАТОР,Пристрій для відділення вершків від молока,9
СИРОВАР,Той, хто виготовляє сир,7
