word,clue,length
ВАЛЬС,Плавний парний танець на три чверті,5
ТАНГО,Пристрасний аргентинський парний танець,5
ФОКСТРОТ,Рухливий бальний танець із приставними кроками,8
РУМБА,Кубинський танець із виразними рухами стегон,5
САЛЬСА,Запальний латиноамериканський танець,6
БАЧАТА,Чуттєвий домініканський парний танець,6
ФЛАМЕНКО,Іспанський танець із притупуванням і кастаньєтами,8
БАЛЕТ,Театральний танець на пуантах під музику,5
БАЛЕРИНА,Танцівниця класичного театрального танцю,8
ХОРЕОГРАФ,Той, хто ставить танцювальні рухи,9
ПАРТЕР,Нижній рівень глядацьких місць у театрі,6
ЛОЖА,Відокремлене місце для глядачів у театрі,4
АНТРАКТ,Перерва між діями вистави,7
ВИСТАВА,Театральна постановка,7
АКТ,Велика частина театральної вистави,3
СЦЕНА,Майданчик для виступу перед глядачами,5
ЛАШТУНКИ,Простір за сценою, прихований від глядача,8
ОПЛЕСКИ,Плескання в долоні на знак схвалення,7
БІС,Вигук глядачів із проханням повторити номер,3
ЦИРК,Видовищний заклад з акробатами й тваринами,4
АКРОБАТ,Виконавець складних гімнастичних трюків,7
ЖОНГЛЕР,Той, хто підкидає й ловить кілька предметів одразу,7
КЛОУН,Комічний артист цирку,5
ФОКУСНИК,Артист, що показує ілюзії,8
ІЛЮЗІОНІСТ,Артист, що створює враження неможливого,10
ЕКВІЛІБРИСТ,Артист, що балансує в складних позах,11
