word,clue,length
ТУШКАНЧИК,Дрібний стрибучий гризун пустелі з довгими задніми лапами,9
ДРОФА,Великий степовий птах, що майже не літає,5
СУСЛИК,Дрібний гризун степу, що живе колоніями,6
ТАРАНТУЛ,Великий отруйний павук піщаних місцевостей,8
СКОРПІОН,Членистонога тварина з отруйним жалом на хвості,8
ФАЛАНГА,Швидка отруйна на вигляд членистонога тварина пустель,7
КОБРА,Отруйна змія з розширюваним капюшоном,5
ЄФА,Дрібна дуже отруйна змія пісків,3
АГАМА,Ящірка, що змінює колір під сонцем,5
ВАРАН,Найбільша хижа ящірка пустель,5
КАРАКАЛ,Пустельна рись з китицями на вухах,7
ФЕНЕК,Найменша лисиця світу з величезними вухами,5
ДРОМАДЕР,Одногорбий верблюд,8
ГІЄНА,Хижий стерв'ятник пустельних і степових зон,5
СКАРАБЕЙ,Священний жук стародавнього Єгипту,8
