word,clue,length
ТОРТ,Багатошаровий святковий десерт,4
ТІРАМІСУ,Італійський десерт з кавою й маскарпоне,8
ЧИЗКЕЙК,Десерт з вершкового сиру на печивній основі,7
ВАТРУШКА,Солодка здобна булочка з сирною начинкою,8
ПРОФІТРОЛЬ,Маленька випічка з заварного тіста з начинкою,10
ЕКЛЕР,Довгаста випічка із заварного тіста з кремом,5
БІЗЕ,Хрустка випічка зі збитих білків з цукром,4
МОРОЗИВО,Заморожений молочний десерт,8
ПУДИНГ,М'який запечений чи охолоджений десерт,6
СУФЛЕ,Легкий пишний запечений десерт,5
МУС,Повітряний збитий десерт,3
ЖЕЛЕ,Застигла солодка драглиста маса,4
КРЕМ,Густа солодка маса для прошарку випічки,4
ГЛАЗУР,Блискуче солодке покриття десерту,6
ПОСИПКА,Дрібні прикраси зверху на десерті,7
