word,clue,length
ТИРАНОЗАВР,Величезний хижий динозавр з крихітними лапами,10
ДИПЛОДОК,Динозавр з дуже довгою шиєю й хвостом,8
СТЕГОЗАВР,Динозавр з пластинами вздовж спини,9
ТРИЦЕРАТОПС,Рогатий динозавр з кістяним коміром,11
ПТЕРОДАКТИЛЬ,Літаючий плазун епохи динозаврів,12
ВЕЛОЦИРАПТОР,Швидкий хижий динозавр невеликого розміру,12
БРОНТОЗАВР,Гігантський травоїдний динозавр,10
МАМОНТ,Вимерлий волохатий родич слона,6
ІХТІОЗАВР,Морський плазун, схожий на дельфіна,9
АМОНІТ,Скам'янілий молюск зі спіральною черепашкою,6
ДИНОЗАВР,Вимерла давня велетенська рептилія,8
ІКЛО,Гострий видовжений зуб хижака,4
СКАМЯНІЛІСТЬ,Затверділий залишок давнього організму,12
ВИКОПНИЙ,Знайдений у землі залишок давнього життя,8
ПАЛЕОНТОЛОГ,Вчений, що вивчає давнє життя,11
