word,clue,length
ЕПІДЕМІЯ,Швидке поширення хвороби в межах регіону,8
ПАНДЕМІЯ,Поширення хвороби по всьому світу,8
ЕПІЦЕНТР,Точка на поверхні прямо над вогнищем підземного поштовху,8
ПОШТОВХ,Раптове коливання земної кори,7
РУЙНУВАННЯ,Наслідок сильного стихійного лиха,10
ЕВАКУАЦІЯ,Організоване виведення людей із небезпечної зони,9
ПРИТУЛОК,Тимчасове місце захисту від небезпеки,8
ДОПОМОГА,Підтримка тим, хто постраждав,8
КАТАСТРОФА,Раптова подія з важкими наслідками,10
ЛИХО,Велике нещастя,4
СТИХІЯ,Неконтрольована сила природи,6
БУРЕВІЙ,Сильний руйнівний вітер,7
ЦИКЛОН,Область низького тиску з обертовими вітрами,6
АНТИЦИКЛОН,Область високого тиску зі стійкою погодою,10
