word,clue,length
ВІВЧАРКА,Пес-пастух, що охороняє отару,8
ХАСКІ,Північний пес з блакитними очима,5
ТАКСА,Пес з дуже короткими лапами й довгим тулубом,5
БУЛЬДОГ,Приземкуватий пес зі зморшкуватою мордою,7
ПУДЕЛЬ,Кучерявий пес, що любить воду,6
ДОГ,Один з найбільших порід собак,3
МОПС,Дрібний пес з приплюснутою мордочкою,4
КОЛІ,Пухнастий пастуший пес з гострою мордою,4
ЛАЙКА,Північний мисливський пес,5
ХОРТ,Швидконогий мисливський пес,4
ШПІЦ,Дрібний пухнастий пес з гострою мордочкою,4
СЕТЕР,Мисливський пес з довгою шерстю,5
СПАНІЕЛЬ,Пес з довгими висячими вухами,8
РЕТРІВЕР,Пес, що приносить здобич мисливцю,8
ДВОРНЯГА,Пес невизначеної породи,8
