word,clue,length
ПРАЛКА,Машина для прання одягу,6
СУШАРКА,Машина для сушіння білизни,7
ПОСУДОМИЙКА,Машина для миття тарілок і чашок,11
МОРОЗИЛЬНИК,Прилад для тривалого заморожування продуктів,11
КАВОМОЛКА,Прилад для подрібнення кавових зерен,9
ТЕРМОПОТ,Посудина, що довго тримає воду гарячою,8
МЯСОРУБКА,Прилад для подрібнення м'яса на фарш,9
ОБІГРІВАЧ,Прилад, що зігріває приміщення,9
ВЕНТИЛЯТОР,Прилад, що ганяє повітря лопатями,10
ЗВОЛОЖУВАЧ,Прилад, що додає вологи в повітря,10
ОЧИЩУВАЧ,Прилад, що фільтрує повітря чи воду,8
ІОНІЗАТОР,Прилад, що насичує повітря іонами,9
ЕПІЛЯТОР,Прилад для видалення волосків з коренем,8
ПЛОЙКА,Прилад для завивання волосся,6
ВИПРЯМЛЯЧ,Гарячий прилад для рівного волосся без завитків,9
ТРИМЕР,Прилад для підстригання волосся чи бороди,6
ХЛІБОПІЧКА,Прилад, що сам випікає буханку хліба,10
СОКОВАРКА,Прилад для отримання соку через пар,9
ЙОГУРТНИЦЯ,Прилад для заквашування молока в баночках,10
