word,clue,length
ТРАНЗИСТОР,Напівпровідниковий елемент для підсилення сигналу,10
РЕЗИСТОР,Елемент, що обмежує силу струму,8
КОНДЕНСАТОР,Елемент для накопичення електричного заряду,11
ДІОД,Елемент, що пропускає струм лише в одному напрямку,4
МІКРОСХЕМА,Крихітний електронний блок з безліччю елементів,10
ПЛАТА,Основа для монтажу електронних деталей,5
ПАЯЛЬНИК,Інструмент для зєднання деталей розплавленим металом,8
ПРОВІДНИК,Матеріал, що добре пропускає струм,9
ІЗОЛЯТОР,Матеріал, що не пропускає струм,8
ЗАРЯДКА,Пристрій для поповнення енергії акумулятора,7
БАТАРЕЙКА,Джерело живлення хімічним способом,9
ПУЛЬТ,Пристрій для дистанційного керування,5
ДАТЧИК,Пристрій, що реагує на зміну середовища,6
СИГНАЛ,Умовний знак для передачі інформації,6
СХЕМА,Графічне зображення електричного кола,5
