word,clue,length
ПРАІСТОРІЯ,Час до появи писемності,10
ВІДРОДЖЕННЯ,Епоха повернення до античних ідеалів у мистецтві,11
РЕВОЛЮЦІЯ,Різка докорінна зміна ладу,9
ІМПЕРІЯ,Велика держава з підвладними територіями,7
КОЛОНІЯ,Залежна територія під владою іншої держави,7
МЕТРОПОЛІЯ,Держава стосовно своїх колоній,10
НЕЗАЛЕЖНІСТЬ,Стан самостійного існування держави,12
ОКУПАЦІЯ,Захоплення чужої території військом,8
ПОВСТАННЯ,Збройний виступ проти влади,9
РЕФОРМА,Перетворення в межах існуючого ладу,7
КОРОНАЦІЯ,Обряд урочистого зведення на трон,9
ДИНАСТІЯ,Ряд правителів одного роду,8
ЛІТОПИС,Хронологічний запис історичних подій,7
АРХІВ,Зібрання давніх документів,5
РЕЛІКВІЯ,Річ, що зберігається як пам'ять про минуле,8
СПАДЩИНА,Те, що залишилося від попередніх поколінь,8
