word,clue,length
БАНДЖІ,Стрибок з вишки на еластичному шнурі,6
ПАРАПЛАН,Крило-парашут для керованого польоту,8
ВІНДСЕРФІНГ,Серфінг з вітрилом на дошці,11
СНОУБОРДИНГ,Катання на дошці по снігу з трюками,11
ФРІРАЙД,Катання поза трасою на снігу,7
СПЛАВ,Проходження бурхливої річки на плоту чи байдарці,5
ДАЙВІНГ,Занурення з аквалангом під воду,7
АКВАЛАНГ,Прилад для дихання під водою,8
СПЕЛЕОЛОГІЯ,Дослідження й проходження печер,11
АЛЬПІНІЗМ,Сходження на високі гори,9
МОТОКРОС,Перегони мотоциклів бездоріжжям,8
