word,clue,length
ХОТДОГ,Булочка з сосискою і соусом,6
ПОПКОРН,Здуті кукурудзяні зерна, солодкі чи солоні,7
ЦУКРОВА,Вата ..., солодка повітряна ласка на паличці,7
ЛИМОНАД,Солодкий газований напій з кислинкою,7
МОРОЗИВО,Заморожений солодкий молочний десерт,8
ВАФЛЯ,Хрустка випічка з рельєфним візерунком,5
ТИР,Атракціон для стрільби по мішенях,3
ЯБЛУКО,Фрукт у карамелі на паличці,6
ПРЯНИК,Медова випічка з ярмарку,6
ЛОТЕРЕЯ,Гра з випадковим виграшем на ярмарку,7
БУБЛИК,Кільцева хлібна випічка з дірочкою,6
ГІРЛЯНДА,Низка вогників на ярмарковій алеї,8
КАРУСЕЛЬ,Обертовий атракціон з фігурками для катання,8
ГОЙДАЛКА,Атракціон, що розгойдується вперед-назад,8
БАТУТ,Пружна поверхня для стрибків,5
