word,clue,length
БАТЬКО,Чоловік стосовно своєї дитини,6
МАТИ,Жінка стосовно своєї дитини,4
СИН,Хлопець чи чоловік стосовно своїх батьків,3
ДОНЬКА,Дівчина чи жінка стосовно своїх батьків,6
БРАТ,Хлопець чи чоловік стосовно інших дітей тих самих батьків,4
СЕСТРА,Дівчина чи жінка стосовно інших дітей тих самих батьків,6
ДІДУСЬ,Батько батька чи матері,6
БАБУСЯ,Мати батька чи матері,6
ОНУК,Хлопчик стосовно своїх дідуся й бабусі,4
ОНУКА,Дівчинка стосовно своїх дідуся й бабусі,5
ДЯДЬКО,Брат батька чи матері,6
ТІТКА,Сестра батька чи матері,5
ПЛЕМІННИК,Син брата чи сестри,9
ПЛЕМІННИЦЯ,Донька брата чи сестри,10
КУЗЕН,Син дядька чи тітки,5
КУЗИНА,Донька дядька чи тітки,6
ЗЯТЬ,Чоловік доньки стосовно її батьків,4
НЕВІСТКА,Дружина сина стосовно його батьків,8
СВЕКОР,Батько чоловіка стосовно його дружини,6
СВЕКРУХА,Мати чоловіка стосовно його дружини,8
ТЕСТЬ,Батько дружини стосовно її чоловіка,5
ТЕЩА,Мати дружини стосовно її чоловіка,4
ВІТЧИМ,Новий чоловік матері, не рідний батько,6
МАЧУХА,Нова дружина батька, не рідна мати,6
ПАСИНОК,Син одного з подружжя від попереднього шлюбу,7
ПАДЧЕРКА,Донька одного з подружжя від попереднього шлюбу,8
БЛИЗНЮК,Один із двох дітей, народжених одночасно,7
НАРЕЧЕНИЙ,Чоловік, що незабаром одружиться,9
НАРЕЧЕНА,Жінка, що незабаром вийде заміж,8
ДРУЖИНА,Жінка стосовно свого чоловіка в шлюбі,7
ЧОЛОВІК,"Одружений представник сильної статі",7
КОХАНИЙ,Той, кого люблять романтично,7
КОХАНА,Та, кого люблять романтично,6
ПАРТНЕР,Особа, з якою перебувають у стосунках,7
РОЗЛУЧЕННЯ,Офіційне припинення шлюбу,10
ШЛЮБ,Офіційно оформлений союз двох людей,4
РОДИНА,Батьки й діти разом,6
РІД,Спільнота людей одного походження,3
РОДОВІД,Історія походження роду,7
ПРЕДОК,Той, від кого веде рід нащадок,6
НАЩАДОК,Той, хто походить від когось із давнього роду,7
СПАДОК,Майно, що переходить після смерті,6
СПАДКОЄМЕЦЬ,Той, кому переходить майно після смерті,11
ОПІКУН,Той, хто офіційно доглядає дитину замість батьків,6
СИРОТА,Дитина без батьків,6
ВДОВА,Жінка, чоловік якої помер,5
ВДІВЕЦЬ,Чоловік, дружина якого померла,7
КУМ,Хрещений батько дитини стосовно її рідних батьків,3
КУМА,Хрещена мати дитини стосовно її рідних батьків,4
