word,clue,length
ТРАКТОР,Потужна машина для оранки поля,7
ПЛУГ,Знаряддя для оранки землі,4
СІВАЛКА,Машина для посіву насіння,7
КОМБАЙН,Машина для збирання врожаю зерна,7
СТІЖОК,Купа складеного сіна,6
СКИРТА,Велика купа снопів чи сіна,6
ОРАЧ,Той, хто обробляє землю плугом,4
ЖНИВА,Період збирання врожаю зернових,5
СІНОКІС,Період косіння трави на сіно,7
ПАСОВИСЬКО,Ділянка для випасання худоби,10
ЗАГІН,Огороджена ділянка для тварин,5
КОРІВНИК,Господарська будівля для великої рогатої худоби,8
СВИНАРНИК,Приміщення для утримання свиней,9
КУРНИК,Приміщення для утримання курей,6
ЯСЛА,Годівниця для худоби,4
