word,clue,length
КАРНАВАЛ,Святкове дійство з масками й костюмами,8
ФЕСТИВАЛЬ,Масове свято мистецтва чи культури,9
ЯРМАРОК,Велика торгівля просто неба зі святковою атмосферою,7
ПАРАД,Урочистий похід колоною,5
ФЕЄРВЕРК,Яскраве святкове видовище з вибухами вогню,8
СВІЧКА,Стрижень воску з ґнотом, що горить,6
ГІРЛЯНДА,Низка вогників чи прикрас для свята,8
СЕРПАНТИН,Вузька стрічка паперу, що кидають на святі,9
КОНФЕТІ,Дрібні кольорові папірці для свята,7
МАСКАРАД,Урочистий вечір з переодяганнями та інтригою,8
ХОРОВОД,Танок по колу з піснею,7
ВІНОК,Плетений вінець із квітів чи трав,5
ХЛОПАВКА,Пристрій, що гучно бабахає на святі,8
АТРАКЦІОН,Розважальний пристрій на ярмарку,9
КОСТЮМ,Одяг для маскараду чи вистави,6
