word,clue,length
ВИТОНЧЕНИЙ,Той, що має вишукану красу й стиль,10
ГРУБИЙ,Той, що позбавлений витонченості,6
ЕЛЕГАНТНИЙ,Той, що має вишуканий охайний вигляд,10
НЕОХАЙНИЙ,Той, хто не дбає про порядок і чистоту,9
АКУРАТНИЙ,Той, хто дбає про порядок і точність,9
НЕДБАЛИЙ,Той, хто робить абияк без старання,8
ПУНКТУАЛЬНИЙ,Той, хто ніколи не спізнюється,12
БЕЗЛАДНИЙ,Той, у кого немає ладу в справах,9
УВАЖНИЙ,Той, хто помічає деталі,7
НЕУВАЖНИЙ,Той, хто пропускає деталі повз увагу,9
ДОПИТЛИВИЙ,Той, хто прагне дізнатися більше,10
БАЙДУЖИЙ,Той, кому нецікаво дізнаватися більше,8
КМІТЛИВИЙ,Той, хто швидко знаходить рішення,9
НЕЗГРАБНИЙ,Той, хто рухається невправно,10
СПРИТНИЙ,Той, хто рухається вправно й швидко,8
