word,clue,length
ЛАМАНТИН,Великий повільний водний ссавець з ластами,8
ДЮГОНЬ,Морська трав'яна тварина, родич ламантина,6
ВИДРА,Спритний водний хижак з густим хутром,5
БОБЕР,Гризун-будівельник гребель,5
ЄНОТОВИДНИЙ,Собака ..., азійський хижий звір, схожий на єнота,10
ГІЄНОВИДНА,Собака ..., африканський хижак, схожий на гієну,9
ЛАСИЦЯ,Дрібний спритний хижак з видовженим тілом,6
ГОРНОСТАЙ,Хутровий хижак, білий узимку,9
СОБОЛЬ,Цінний хутровий звір тайги,6
КУНИЦЯ,Спритний лісовий хижак з цінним хутром,6
РОСОМАХА,Кремезний хижак тайги з міцними щелепами,8
ВОВЧОК,Дрібний гризун, що довго спить узимку,6
ХОМЯК,Гризун із защічними мішками для зерна,5
БУРУНДУК,Смугастий деревний гризун Північної Америки,8
ШИНШИЛА,Гризун з надзвичайно густим хутром Анд,7
