word,clue,length
ВЕСЕЛКА,Різнобарвна дуга в небі після дощу,7
ЗОЗУЛЯ,Птаха, що не будує власного гнізда,6
ЛЕЛЕКА,Птах, що нібито приносить немовлят,6
СОНЯШНИК,Квітка, що повертається за сонцем,8
КАШТАН,Дерево з долоневидним листям і колючими плодами,6
ЯВІР,Дерево родини кленових з широким листям,4
ДУБ,Могутнє дерево, символ сили й довголіття,3
БЕРЕЗА,Дерево з білою корою, символ України,6
ВЕРБА,Плакуче дерево біля води,5
КАЛИНА,Кущ з червоними гіркими ягодами, символ роду,6
ВИШИВАНКА,Сорочка з традиційним українським узором,9
ПИСАНКА,Оздоблене візерунками великоднє яйце,7
РУШНИК,Вишитий тканий виріб для оздоблення оселі,6
ВІНОК,Плетений вінець із живих чи штучних квітів,5
ГОПАК,Швидкий український народний танець,5
