word,clue,length
ПРАСКА,Пристрій для розгладжування тканини теплом,6
ПРАЛЬНА,Машина ..., прилад для автоматичного прання,7
СУШАРКА,Прилад для висушування білизни,7
ГЛАДИЛЬНА,Дошка ..., поверхня для прасування одягу,9
ВІНИК,Знаряддя з прутів для підмітання,5
ШВАБРА,Знаряддя з довгою ручкою для миття підлоги,6
ВІДРО,Посудина з ручкою для перенесення рідини,5
ГАНЧІРКА,Шматок тканини для витирання пилу чи бруду,8
ПИЛОСОС,Прилад для всмоктування пилу з підлоги,7
КОШИК,Плетена посудина для сміття чи білизни,5
ЩІТКА,Знаряддя з ворсом для чищення,5
МОП,Знаряддя з волокнистою насадкою для миття підлоги,3
ВІДБІЛЮВАЧ,Засіб для видалення плям і освітлення тканини,10
ПРИЩІПКА,Затискач для білизни на мотузці,8
МОТУЗКА,Шнур для розвішування білизни,7
