word,clue,length
ГАЙКОВИЙ,Ключ ..., інструмент для закручування гайок,8
ПЛОСКОГУБЦІ,Інструмент для затискання й згинання деталей,11
КУСАЧКИ,Інструмент для перекушування дроту,7
РУЛЕТКА,Стрічковий інструмент для вимірювання довжини,7
СТРУБЦИНА,Пристрій для тимчасового затискання деталей,9
ЗУБИЛО,Інструмент для рубання металу чи каменю,6
НАПИЛЬНИК,Інструмент для стирання нерівностей металу,9
ЛОБЗИК,Тонка пилка для фігурного випилювання,6
РАШПІЛЬ,Грубий напилок для дерева,7
ШПАТЕЛЬ,Плоский інструмент для нанесення суміші,7
ВІДВЕРТКА,Інструмент для закручування шурупів,9
МОЛОТОК,Ударний інструмент з ручкою й бійком,7
СОКИРА,Гостре знаряддя для рубання дерева,6
ЦВЯХОДЕР,Інструмент для витягування цвяхів,8
ВЕРСТАТ,Обладнання для механічної обробки матеріалу,7
