word,clue,length
ЗАВЕРШУВАТИ,Доводити справу до кінця,11
ДОСЯГАТИ,Отримувати бажаний результат,8
ПРАГНУТИ,Сильно бажати чогось досягти,8
МРІЯТИ,Уявляти собі бажане майбутнє,6
НАДІЯТИСЯ,Очікувати доброго результату,9
РАДІТИ,Відчувати задоволення від події,6
ПИШАТИСЯ,Відчувати гордість за досягнення,8
ДЯКУВАТИ,Виражати вдячність за добро,8
ЦІНУВАТИ,Високо оцінювати значення чогось,8
ЛЮБИТИ,Відчувати глибоку прихильність,6
ШАНУВАТИ,Виявляти повагу до когось,8
ПОВАЖАТИ,Визнавати чиюсь гідність і цінність,8
БЕРЕГТИ,Дбайливо ставитися, щоб не втратити,7
ЦІЛУВАТИ,Торкатися губами на знак ніжності,8
ОБІЙМАТИ,Обхоплювати руками з ніжністю,8
