word,clue,length
БАНК,Установа для зберігання й обігу грошей,4
КРЕДИТ,Позика під відсотки,6
ВІДСОТОК,Частка від суми, нарахована банком,8
ВКЛАД,Гроші, розміщені на банківському рахунку,5
РАХУНОК,Персональний облік коштів у банку,7
БАНКНОТА,Паперовий грошовий знак,8
МОНЕТА,Металевий грошовий знак,6
ВАЛЮТА,Грошова одиниця країни,6
БЮДЖЕТ,План доходів і витрат,6
ПОДАТОК,Обов'язковий платіж державі,7
СТРАХУВАННЯ,Захист від фінансових втрат за внесок,11
ІНВЕСТИЦІЯ,Вкладення коштів заради прибутку,10
АКЦІЯ,Цінний папір частки власності компанії,5
БІРЖА,Місце торгівлі цінними паперами,5
ІНФЛЯЦІЯ,Знецінення грошей з часом,8
